,velocity,circularity,xposition
70,"(-7.988550453908871, 0.33318618768971575)",0.8582536184730247,503.80497280497275
71,"(-6.563369280886633, -0.2737079883252669)",0.8373168057474316,502.7548337200309
72,"(-8.989984175692456, 0.928653401335211)",0.8260402041713478,501.3164362519201
73,"(-7.778935947138521, -0.15300026820774804)",0.871554883799187,500.07180650037793
74,"(-8.488006313636731, -1.4860166288737098)",0.8502512501147833,498.71372549019605
75,"(-9.140128087028998, 0.6875466070096259)",0.8103982211489382,497.2513049962714
76,"(-7.7283873844276485, -0.053125472588533285)",0.8582536148217461,496.014763014763
77,"(-8.080710303864791, 0.23955351136564218)",0.8684004995529572,494.7218493661446
78,"(-8.05561984108607, -0.3730167913806426)",0.8450877309213928,493.43295019157085
79,"(-9.964310082401795, -0.33885739778503066)",0.8687201504405094,491.83866057838657
80,"(-8.137851356349302, 0.6336549950923143)",0.838629507119322,490.5366043613707
81,"(-9.61351246105906, 1.2022975077881526)",0.8488863498597394,488.9984423676012
82,"(-8.069890090247611, -1.4890755980651704)",0.8911214977826081,487.7072599531616
83,"(-7.7872329448080535, 0.6241644010157366)",0.8810131065403197,486.4613026819923
84,"(-9.64055784363893, 0.0930487137384084)",0.8911214977826081,484.9188134270101
85,"(-7.879838820774054, 0.053221288515370446)",0.8607599316773238,483.65803921568624
86,"(-8.594334245325896, 0.9192316461468231)",0.8425483401392261,482.2829457364341
87,"(-7.889397091245343, -0.28369692767222787)",0.8398486078988786,481.02064220183485
88,"(-8.25401376146786, -0.3316131498471542)",0.8688120164325117,479.7
89,"(-7.309481393507866, 1.3628266033253844)",0.8526586690317736,478.53048297703873
90,"(-10.609659540775596, 0.14350752177358927)",0.8785998842306275,476.83293745051463
91,"(-8.016863850405542, -0.0798987184004396)",0.8540071688795577,475.55023923444975
92,"(-9.674254649273095, -0.48991811110097316)",0.8167335085989096,474.00235849056605
93,"(-8.586030387327881, -0.1905965496767692)",0.8582536111704674,472.6285936285936
94,"(-9.045751377211886, 0.3214949844163151)",0.8645150350805052,471.1812734082397
95,"(-8.467630055320896, 0.2676377864824886)",0.8543048322031671,469.82645259938835
96,"(-7.696437343462392, 0.8698861513553702)",0.8175219152140628,468.59502262443436
97,"(-8.328619909502066, 0.4053544494721173)",0.8660613134269636,467.26244343891403
98,"(-9.926576986064717, -0.549534147744879)",0.8606295742486827,465.6741911211437
99,"(-8.342396101680905, -0.38744941561210666)",0.8782595303255427,464.33940774487473
100,"(-8.408667613240084, -0.26075450047846616)",0.8488800254848414,462.9940209267563
101,"(-8.781446780161062, 0.16078482099981528)",0.8919684042436918,461.58898944193055
102,"(-7.463591419473659, 0.9868443103736801)",0.8564933063642094,460.39481481481477
103,"(-9.446063268167748, -1.4577352965437385)",0.8722859530872316,458.8834446919079
104,"(-7.495961142606333, 0.4742546568131445)",0.8621424803245623,457.6840909090909
105,"(-10.957595831587952, 0.0006764069264697525)",0.8260402041713478,455.93087557603684
106,"(-7.391198894852735, 0.5622071483054825)",0.8742583442356714,454.7482837528604
107,"(-9.44363853474286, -0.37867540227383145)",0.8475717868378972,453.23730158730154
108,"(-7.412242345595388, 0.28193880237727953)",0.8885277494403256,452.0513428120063
109,"(-7.168842461144109, -0.635296451435341)",0.8782595303255427,450.9043280182232
110,"(-8.342225954874039, -0.10117125730557675)",0.854304828606285,449.5695718654434
111,"(-8.084042313102202, 0.017986917333079333)",0.8489731917532153,448.276125095347
112,"(-8.514330598753261, 0.23647585146440164)",0.8822607089426341,446.9138321995465
113,"(-8.80949046285231, -0.8696700902582677)",0.8502512501147833,445.50431372549014
114,"(-8.080587327523503, -0.13754992737835536)",0.8717881198797078,444.2114197530864
115,"(-6.862461419752819, -0.5787037037037202)",0.9095829093796698,443.1134259259259
116,"(-10.585455246913966, 0.7233796296296724)",0.8717881236046943,441.4197530864197
117,"(-7.441165123456273, -0.11091820987649825)",0.8826102911826577,440.2291666666667
118,"(-8.766629016064442, 0.13048722668438373)",0.8302453418794994,438.8265060240964
119,"(-8.855594000716849, 0.34906215250023465)",0.8636496240821876,437.4096109839817
120,"(-6.468114626897048, -0.14739340855882688)",0.7979173626627274,436.37471264367815
121,"(-9.804500839468133, -1.4953829265142993)",0.8398680721675164,434.80599250936325
122,"(-7.234165201660758, -0.5088133880269297)",0.8323186962379208,433.64852607709753
123,"(-8.663627488032688, 0.5773258377424817)",0.8826102835935316,432.2623456790123
124,"(-7.565899232565698, -0.0341487320653755)",0.8699801465623637,431.0518018018018
125,"(-8.09325667410512, 0.9256532909056148)",0.854304828606285,429.75688073394497
126,"(-9.72299707964872, -0.30159172934398626)",0.9071272320156067,428.2012012012012
127,"(-7.4187556390473475, -0.32828512368867635)",0.8488800290073512,427.0142002989536
128,"(-7.806226849214681, -0.4654214003873669)",0.8172199410018571,425.76520400307925
129,"(-8.284802923573409, -0.05956702281944004)",0.8528586490095648,424.4396355353075
130,"(-7.998863648183274, 0.0819542824254782)",0.8948687559072878,423.1598173515982
131,"(-8.383948133587182, -1.0190361133293635)",0.8845871851517515,421.81838565022423
132,"(-8.301184823705654, 1.2322825991383901)",0.8502512573492516,420.4901960784313
133,"(-7.93269230769198, 0.5075414781296139)",0.8766536677961304,419.2209653092006
134,"(-7.821760882034212, -0.6071686529432796)",0.8449195912155351,417.96948356807513
135,"(-7.915332906530637, -0.31503414425948506)",0.8726869017249659,416.70303030303023
136,"(-8.329648292883363, 0.5592691622103629)",0.8514061646573017,415.3702865761689
137,"(-8.68003184179642, 0.2865150689904894)",0.8826102873880945,413.98148148148147
138,"(-8.468539562289479, -1.0777918069584835)",0.8989549300693914,412.62651515151515
139,"(-7.371602049910919, 0.1711786987522501)",0.8869476265986145,411.4470588235294
140,"(-6.704677142725046, 1.3312010383349282)",0.8317823965464263,410.3743104806934
141,"(-9.023683680512207, -0.022486981992830835)",0.8410350362658409,408.93052109181144
142,"(-8.519129839694983, 0.9815520501005537)",0.8688120126740144,407.56746031746025
143,"(-8.267812722103685, 0.535714285714306)",0.8213179027884253,406.24461028192366
144,"(-9.478648424543579, -2.0366915422886045)",0.8464174258674915,404.7280265339967
145,"(-9.504560530680095, 1.9537728026533863)",0.8213178992573736,403.20729684908787
146,"(-10.153747800437785, -0.4339387667261718)",0.8563442102224633,401.5826972010178
147,"(-7.813758678890892, -0.42011904305239156)",0.8131455888436613,400.3324958123953
148,"(-10.400989387203197, 2.1770559144930424)",0.8181515157953544,398.66833751044277
149,"(-8.003136296507662, 0.20146881817497686)",0.8268730187017616,397.38783570300154
150,"(-9.12253773706091, 0.10350763811732833)",0.8290525601505606,395.9282296650718
151,"(-7.999676813573586, -0.5933172122588815)",0.7777440945563394,394.6482813749
152,"(-8.095296812195585, 1.700448152116607)",0.8317824035629914,393.35303388494873
153,"(-8.022230711452849, 0.07761417553879824)",0.8911214939105524,392.0694769711163
154,"(-6.530621238447765, 1.3600608143838677)",0.8607866330848881,391.02457757296463
155,"(-9.660035064673878, -1.31532904087166)",0.8488863534555979,389.4789719626168
156,"(-7.109315507095815, 0.9615784008308204)",0.8925206911652953,388.3414814814815
157,"(-10.0248260004971, -0.28020134228192717)",0.8684004995529572,386.73750932140194
158,"(-7.631935165703396, 1.2613861884553046)",0.8489731881940314,385.5163996948894
159,"(-10.398699907117859, -0.8317139467025392)",0.8323187065557087,383.85260770975054
160,"(-6.542168149310967, 1.5242165242165484)",0.834603215017448,382.8058608058608
161,"(-9.175763663649406, 0.6704143873746737)",0.8496926919302585,381.3377386196769
162,"(-9.409619207447761, 1.0272133816816797)",0.8567441062333362,379.83219954648524
163,"(-9.446617535903457, 1.6333144368857688)",0.89252069872668,378.3207407407407
164,"(-8.140734413228401, -0.18673542563059087)",0.8782595303255427,377.01822323462414
165,"(-9.8314878089937, 1.5524761663713527)",0.8564933063642094,375.44518518518515
166,"(-8.966419473772191, -0.39211496564437454)",0.8660613134269636,374.0105580693816
167,"(-8.884152296154468, 1.335940703824967)",0.8359960983286626,372.5890937019969
168,"(-9.548693875028746, 2.251895845471985)",0.87025716188219,371.0613026819923
169,"(-10.432445706767268, 0.8291774453067724)",0.8373168092577479,369.3921113689095
170,"(-10.37031780509352, 2.212689623522923)",0.7983465012558557,367.73286052009456
171,"(-11.55437352245876, 1.1130811662726892)",0.8217749728207769,365.88416075650116
172,"(-8.356103662683267, 1.6923920787590419)",0.8582236617086864,364.54718417047184
173,"(-11.684445090606488, 1.8754173128284535)",0.8556438990934963,362.6776729559748
174,"(-10.74172021174462, 1.6852708951160977)",0.8285440048494579,360.95899772209566
175,"(-12.615759572621599, 0.3502842860758193)",0.8330193188115681,358.9404761904762
176,"(-13.83982358003486, 1.3948054121248)",0.8553464986174246,356.7261044176706
177,"(-16.71279576745235, 0.6417609986544726)",0.8040510455026935,354.05205709487825
178,"(-16.565641817082266, 1.1982545037696468)",0.7139444779923716,351.4015544041451
179,"(-16.434835798853697, 2.119518284899069)",0.8003817539405441,348.7719806763285
180,"(-27.41841664201914, -11.021147589470637)",0.8568921674338017,344.38503401360543
